order,year,location_name,latitude,longitude,zoom_level,snippet
1,1869,"Porbandar, Gujarat, India",21.6417,69.6293,city,"Born into a merchant family in the coastal town of Porbandar."
2,1888,"London, United Kingdom",51.5072,-0.1276,city,"Travels to London to study law and is exposed to Western political ideas."
3,1893,"Durban, South Africa",-29.8587,31.0218,city,"Experiences racial discrimination that shapes his views on justice and equality."
4,1906,"Johannesburg, South Africa",-26.2041,28.0473,city,"Introduces the concept of Satyagraha through nonviolent resistance."
5,1915,"Mumbai, India",19.0760,72.8777,city,"Returns to India after two decades in South Africa."
6,1917,"Champaran, Bihar, India",26.8500,84.9200,state,"Leads his first major civil resistance movement supporting indigo farmers."
7,1918,"Ahmedabad, Gujarat, India",23.0225,72.5714,city,"Organizes a successful textile workers strike through peaceful protest."
8,1920,"Nagpur, Maharashtra, India",21.1458,79.0882,city,"Launches the Non-Cooperation Movement against British rule."
9,1930,"Dandi, Gujarat, India",20.7179,72.8552,city,"Leads the historic Salt March to protest British salt laws."
10,1931,"London, United Kingdom",51.5072,-0.1276,city,"Represents the Indian National Congress at the Round Table Conference."
11,1942,"Mumbai, India",19.0760,72.8777,city,"Launches the Quit India Movement calling for immediate independence."
12,1947,"New Delhi, India",28.6139,77.2090,city,"Witnesses India gain independence amid partition and widespread violence."
13,1948,"New Delhi, India",28.6139,77.2090,city,"Assassinated while advocating peace and unity."
